#waveobs	flux	err
395.0	0.0	0.0
395.01	0.9999954676736827	0.0
395.02	0.9999953093323247	0.0
395.03	0.9999951510881635	0.0
395.03999999999996	0.9999950074147864	0.0
395.04999999999995	0.9999948884685945	0.0
395.05999999999995	0.9999947946202211	0.0
395.06999999999994	0.9999947182454705	0.0
395.0799999999999	0.9999946503658208	0.0
395.0899999999999	0.9999945850685098	0.0
395.0999999999999	0.9999945196943693	0.0
395.1099999999999	0.9999944533504377	0.0
395.1199999999999	0.999994385801139	0.0
395.1299999999999	0.9999943169634404	0.0
395.1399999999999	0.9999942467939211	0.0
395.14999999999986	0.9999941752557544	0.0
395.15999999999985	0.9999941023145335	0.0
395.16999999999985	0.9999940279388758	0.0
395.17999999999984	0.9999939520997828	0.0
395.1899999999998	0.9999938747686553	0.0
395.1999999999998	0.9999937959144187	0.0
395.2099999999998	0.9999937155008982	0.0
395.2199999999998	0.9999936334857651	0.0
395.2299999999998	0.9999935498216644	0.0
395.2399999999998	0.9999934644589945	0.0
395.2499999999998	0.9999933773490935	0.0
395.25999999999976	0.9999932884466789	0.0
395.26999999999975	0.9999931977108429	0.0
395.27999999999975	0.9999931051041496	0.0
395.28999999999974	0.9999930105896414	0.0
395.2999999999997	0.9999929141264122	0.0
395.3099999999997	0.9999928156655173	0.0
395.3199999999997	0.9999927151483301	0.0
395.3299999999997	0.9999926125082959	0.0
395.3399999999997	0.999992507675248	0.0
395.3499999999997	0.9999924005803014	0.0
395.3599999999997	0.999992291159529	0.0
395.36999999999966	0.9999921793553984	0.0
395.37999999999965	0.9999920651154309	0.0
395.38999999999965	0.9999919483879315	0.0
395.39999999999964	0.9999918291157448	0.0
395.4099999999996	0.9999917072305385	0.0
395.4199999999996	0.9999915826505136	0.0
395.4299999999996	0.9999914552828956	0.0
395.4399999999996	0.9999913250300487	0.0
395.4499999999996	0.9999911917964851	0.0
395.4599999999996	0.999991055494239	0.0
395.4699999999996	0.9999909160450255	0.0
395.47999999999956	0.9999907733781892	0.0
395.48999999999955	0.9999906274240337	0.0
395.49999999999955	0.9999904781041464	0.0
395.50999999999954	0.9999903253232535	0.0
395.5199999999995	0.999990168968747	0.0
395.5299999999995	0.9999900089226056	0.0
395.5399999999995	0.9999898450851746	0.0
395.5499999999995	0.9999896774004822	0.0
395.5599999999995	0.9999895058614064	0.0
395.5699999999995	0.9999893304730135	0.0
395.5799999999995	0.9999891511772676	0.0
395.58999999999946	0.9999889677809191	0.0
395.59999999999945	0.9999887799423158	0.0
395.60999999999945	0.9999885872382515	0.0
395.61999999999944	0.9999883892737129	0.0
395.6299999999994	0.9999881857661437	0.0
395.6399999999994	0.9999879765587049	0.0
395.6499999999994	0.9999877615728328	0.0
395.6599999999994	0.9999875407482846	0.0
395.6699999999994	0.9999873140088562	0.0
395.6799999999994	0.9999870812549911	0.0
395.6899999999994	0.9999868423622996	0.0
395.69999999999936	0.9999865971717395	0.0
395.70999999999935	0.9999863454753918	0.0
395.71999999999935	0.999986087010785	0.0
395.72999999999934	0.9999858214717438	0.0
395.7399999999993	0.9999855485328052	0.0
395.7499999999993	0.9999852678771053	0.0
395.7599999999993	0.9999849792179402	0.0
395.7699999999993	0.9999846823076856	0.0
395.7799999999993	0.9999843769296884	0.0
395.7899999999993	0.999984062871145	0.0
395.7999999999993	0.9999837398828203	0.0
395.80999999999926	0.9999834076419338	0.0
395.81999999999925	0.9999830657373774	0.0
395.82999999999925	0.999982713686304	0.0
395.83999999999924	0.9999823509747146	0.0
395.8499999999992	0.9999819771043639	0.0
395.8599999999992	0.999981591629205	0.0
395.8699999999992	0.9999811941703242	0.0
395.8799999999992	0.9999807844013265	0.0
395.8899999999992	0.9999803620004807	0.0
395.8999999999992	0.9999799265799554	0.0
395.9099999999992	0.9999794776208711	0.0
395.91999999999916	0.9999790144477697	0.0
395.92999999999915	0.9999785362582304	0.0
395.93999999999915	0.9999780421947981	0.0
395.94999999999914	0.9999775314285424	0.0
395.9599999999991	0.999977003225024	0.0
395.9699999999991	0.9999764569725486	0.0
395.9799999999991	0.999975892156739	0.0
395.9899999999991	0.999975308273133	0.0
395.9999999999991	0.9999747046961268	0.0
396.0099999999991	0.9999740805576764	0.0
396.0199999999991	0.9999734346988023	0.0
396.02999999999906	0.9999727657240154	0.0
396.03999999999905	0.9999720721356277	0.0
396.04999999999905	0.9999713524914563	0.0
396.05999999999904	0.9999706055312443	0.0
396.069999999999	0.9999698302320983	0.0
396.079999999999	0.9999690257592272	0.0
396.089999999999	0.9999681912933279	0.0
396.099999999999	0.999967325770263	0.0
396.109999999999	0.9999664276396465	0.0
396.119999999999	0.9999654947686978	0.0
396.129999999999	0.9999645245522151	0.0
396.13999999999896	0.9999635141837487	0.0
396.14999999999895	0.9999624609759705	0.0
396.15999999999894	0.9999613626198911	0.0
396.16999999999894	0.9999602172983035	0.0
396.1799999999989	0.9999590235770237	0.0
396.1899999999989	0.9999577800301322	0.0
396.1999999999989	0.9999564846751031	0.0
396.2099999999989	0.9999551344485027	0.0
396.2199999999989	0.9999537249956496	0.0
396.2299999999989	0.9999522509063833	0.0
396.2399999999989	0.9999507063021522	0.0
396.24999999999886	0.9999490855354091	0.0
396.25999999999885	0.9999473837597892	0.0
396.26999999999884	0.9999455971683362	0.0
396.27999999999884	0.9999437226961633	0.0
396.2899999999988	0.9999417570556873	0.0
396.2999999999988	0.9999396952634025	0.0
396.3099999999988	0.9999375291898079	0.0
396.3199999999988	0.9999352467520073	0.0
396.3299999999988	0.9999328319783283	0.0
